claim-id,claim,gold-evidence,retrieved,MRR@10
c72,"A video shows Palestinian women wearing a burqa, a loose-fitting garment covering the whole body, participating in a beauty pageant.",g72,"['g72', 'page_240', 'page_772', 'page_771', 'page_814', 'page_460', 'page_784', 'page_557', 'page_818', 'page_799']",1.0
c73,Authorities have recovered slaughtered dogs and food made with dog meat from restaurants in Karachi.,g73,"['g73', 'page_269', 'page_842', 'page_1152', 'page_8007', 'g52', 'page_1194', 'page_83', 'page_11135', 'page_2552']",1.0
c74,"Heather Swanson, a transgender cartoon character from the South Park animated series, is comparable to real-life Algerian boxer Imane Khelif.",g74,"['g74', 'page_267', 'g65', 'page_182', 'page_274', 'page_131', 'page_262', 'page_10552', 'page_485', 'page_5492']",1.0
c75, Imran Khan said “no one understood but the Israeli newspaper has praised me and said I am the only leader in Pakistan with credibility.”,g75,"['g75', 'page_286', 'page_434', 'page_2145', 'page_1574', 'page_3348', 'page_1552', 'page_850', 'page_614', 'page_1542']",1.0
c76," Pakistan army’s emblem is engraved into a door of Pataudi House in Haryana, India",g76,"['g76', 'page_282', 'page_11180', 'page_11348', 'page_7709', 'page_11755', 'page_7710', 'page_5151', 'page_10942', 'page_6011']",1.0
c77,A widely circulated image shows Natasha Danish recording herself while driving recklessly. Natasha was involved in a deadly traffic accident in Karachi in August.,g77,"['g77', 'page_281', 'g169', 'g171', 'page_348', 'g168', 'g164', 'page_329', 'g172', 'page_333']",1.0
c78,Arab citizens and singers released a song celebrating Israel’s recent pager attacks in Lebanon.,g78,"['g78', 'page_289', 'page_268', 'page_548', 'page_11095', 'page_713', 'page_3475', 'page_11757', 'page_1251', 'page_7707']",1.0
c79,"The SBP has shortlisted designs for the new banknotes, of which some will be selected as the official currency note after the Government of Pakistan’s approval.",g79,"['g79', 'page_317', 'page_6368', 'page_1687', 'page_1467', 'page_3676', 'page_34', 'page_1690', 'page_3352', 'page_6235']",1.0
c80,India’s Zindagi channel apologised to its viewers for the TV series “Barzakh” and took down all of the show’s episodes from YouTube.,g80,"['g80', 'page_321', 'page_5631', 'page_5522', 'page_3867', 'page_154', 'page_5274', 'page_1303', 'page_2568', 'page_1695']",1.0
c81,Video shows injured Hamas leader Ismail Haniyeh’s last moments before his death. ,g81,"['g81', 'page_337', 'page_349', 'page_334', 'page_8171', 'page_11400', 'page_784', 'page_806', 'page_812', 'page_794']",1.0
c82,Kababjees University of Science and Technology does not exist,g82,"['page_347', 'g82', 'page_1322', 'page_4065', 'page_4245', 'page_521', 'page_32', 'page_280', 'page_1161', 'page_1143']",0.5
c83,"Elon Musk alleged that Google has banned searches for Republican presidential candidate Donald Trump, preventing users from finding relevant results when searching for Trump’s name.",g83,"['g83', 'page_355', 'page_96', 'page_1244', 'page_8208', 'page_5636', 'page_5974', 'page_3811', 'page_11101', 'page_5290']",1.0
c84,A stone tablet depicting a man in front of a computer proves technology existed in “ancient times”,g84,"['g84', 'page_458', 'page_8357', 'page_5199', 'page_1891', 'page_8194', 'page_3434', 'page_4475', 'page_6832', 'g92']",1.0
c85,"New technology allows hackers to extract fingerprints from photographs posted online where a person’s fingertips are visible, when making a peace sign, for example. These biometric details can then be used to hack into someone’s phone or commit a range of cybercrimes, including bypassing authentication processes and hacking into banking accounts. A good way to mitigate this risk is by blurring the fingertips in the photographs that you post on social media. ",g85,"['g85', 'page_488', 'page_4959', 'page_8524', 'page_4536', 'page_4362', 'page_4575', 'page_8642', 'page_4678', 'page_3331']",1.0
c86,Elon Musk has acquired Stanford University.,g86,"['g86', 'page_301', 'page_5636', 'page_6886', 'page_5573', 'page_5618', 'page_7196', 'page_3322', 'page_11153', 'page_11762']",1.0
c87,All Confucius Institutes in Pakistan have been shut down. Confucius Institutes are Chinese language and culture centers set up through partnerships between universities in Pakistan and the Chinese International Education Foundation.,g87,"['g87', 'page_1514', 'page_1819', 'page_8595', 'page_8137', 'page_11585', 'page_10277', 'page_6345', 'page_9259', 'page_9116']",1.0
c88,"A misleading tweet claimed that “75% Pakistanis have never read a book outside their syllabus,” citing Gallup Pakistan, a survey research and consultancy firm affiliated with Gallup International, as an official source",g88,"['g88', 'page_1652', 'page_1145', 'page_1301', 'page_938', 'page_1676', 'page_2133', 'page_2067', 'page_945', 'page_1028']",1.0
c89, Open AI’s new model O3 will change everything since artificial general intelligence (AGI) is finally here.,g89,"['g89', 'page_142', 'page_8291', 'page_6041', 'page_8843', 'page_8173', 'page_6134', 'page_2212', 'page_8194', 'page_8016']",1.0
c90,"A violent video of a man being beaten up in a river, with his hands and feet tied together, is from the recent attacks on the Shia community in Parachinar.",g90,"['g90', 'page_149', 'page_2120', 'page_353', 'page_1079', 'page_174', 'page_2143', 'page_315', 'page_1026', 'page_1835']",1.0
c91,"A viral video shows a man  walking into an elevator with an e-bike battery, which almost instantly bursts into flames, causing an explosion inside the lift. In the latter half of the video, the same man can be seen being dragged out of the elevator, unconscious and almost completely covered with burn marks. ",g91,"['g91', 'page_327', 'page_5179', 'page_624', 'page_2146', 'page_243', 'page_3377', 'page_1865', 'page_93', 'page_4325']",1.0
c92,A video claims to show an eight-foot-long centipede,g92,"['g92', 'page_399', 'page_799', 'g97', 'page_921', 'page_742', 'page_792', 'g55', 'page_848', 'page_1703']",1.0
c93,"Viral posts on social media claimed that Dr Gilbert A Kwak, a professor at ICBS General Hospital, stated that hot fig water can cure cancer and that hot figs can “destroy” cancer cells.",g93,"['g93', 'page_421', 'page_1624', 'page_1816', 'page_1127', 'page_1817', 'page_1150', 'page_1111', 'page_9334', 'page_5486']",1.0
c94, A viral Snapchat mashup shows several video clips of the recent rainstorm in the UAE.,g94,"['g94', 'page_515', 'page_1461', 'page_1434', 'page_1428', 'page_496', 'page_1832', 'page_1790', 'page_1419', 'page_1716']",1.0
c95,Director General of WHO Dr Tedros Adhanom has said that Disease X is a global problem and that we should be prepared for it.,g95,"['g95', 'page_675', 'page_7541', 'page_10055', 'page_10751', 'page_4665', 'page_10141', 'page_5908', 'page_1901', 'page_1856']",1.0
c96,"India’s Narendra Modi and Joe Biden are seen taking a stroll together and sharing a meal. Both are wearing traditional dresses, an orange turban, and garlands of marigolds in some pictures",g96,"['g96', 'page_827', 'page_10514', 'page_5494', 'page_10189', 'page_1881', 'page_10358', 'page_10004', 'page_10454', 'page_5448']",1.0
c97,A video shows a bird breathing fire from its mouth.,g97,"['g97', 'page_1332', 'g99', 'page_85', 'page_1436', 'page_243', 'page_624', 'page_1130', 'page_146', 'page_1656']",1.0
c98,A video shows Donald Trump seeking forgiveness from Allah following the devastating fires in Los Angeles.,g98,"['g98', 'page_86', 'g40', 'page_66', 'page_2078', 'page_2044', 'g55', 'page_5', 'page_1620', 'page_3462']",1.0
c99,"A bird that can breathe fire or shoot fire from its eyes caused the Los Angeles wildfires, according to a video",g99,"['g99', 'page_85', 'g97', 'page_93', 'page_1332', 'page_92', 'g106', 'page_94', 'page_127', 'page_2075']",1.0
c100,A video shows a large group of people sleeping in an open ground after losing their homes in the Los Angeles wildfires,g100,"['g100', 'page_84', 'page_2079', 'g40', 'g101', 'page_7205', 'page_66', 'page_10419', 'page_94', 'page_93']",1.0
c101,A series of images shows the wildfire in Los Angeles.,g101,"['g101', 'page_94', 'g40', 'page_93', 'page_6585', 'page_2080', 'page_92', 'page_7046', 'page_10419', 'page_66']",1.0
c102,A video shows Jerusalem’s al-Aqsa mosque during Friday prayer.,g102,"['g102', 'page_111', 'page_517', 'page_818', 'page_2047', 'page_1046', 'page_1240', 'page_2148', 'page_784', 'page_1053']",1.0
c103,"West Indies cricketer Chris Gayle was seen enjoying the snow in Kumrat valley, Khyber Pakhtunkhwa.",g103,"['g103', 'page_107', 'page_9412', 'page_10894', 'page_6507', 'page_7445', 'page_6951', 'page_8903', 'page_6746', 'page_10311']",1.0
c104,"YouTuber Luke Damant, who was missing for days, has been found dead in Jalalabad, Afghanistan, three weeks after entering the country via Pakistan.",g104,"['g104', 'page_115', 'page_7421', 'page_6646', 'page_8397', 'page_6179', 'page_9184', 'page_2377', 'page_8486', 'g90']",1.0
c105,A video shows Richard Grenell praising Imran Khan during a speech at the Republican National Convention.,g105,"['g105', 'page_110', 'page_2087', 'g53', 'g110', 'page_2084', 'page_141', 'page_2145', 'page_8057', 'page_566']",1.0
c106,A video shows a firefighting plane crashing shortly after takeoff while attempting to douse a fire in Los Angeles in January 2025,g106,"['g106', 'page_127', 'page_2075', 'g40', 'page_93', 'page_92', 'g101', 'page_66', 'page_94', 'page_4105']",1.0
c107,Donald Trump plans to invite Imran Khan along with his family to his inauguration ceremony on 20 January.,g107,"['g107', 'page_118', 'page_2084', 'page_119', 'page_209', 'page_6790', 'g108', 'page_6730', 'page_6716', 'page_6742']",1.0
c108,"Donald Trump said, “I’ve learnt a lot from Imran Khan, his Islamic style, and his independent policy. He is not only the leader of Pakistanis but he is also my leader.”",g108,"['g108', 'page_119', 'g107', 'g53', 'g44', 'page_434', 'page_2084', 'page_162', 'page_566', 'page_3462']",1.0
c109,Netanyahu is seen being “attacked and beaten up” by members of the Israeli parliament in a video,g109,"['g109', 'page_129', 'page_247', 'page_614', 'page_238', 'page_828', 'page_217', 'page_542', 'page_538', 'page_297']",1.0
c110,"Images depict Imran Khan and Richard Grenell in intimate moments, including some showing them getting married.",g110,"['g110', 'page_141', 'g105', 'page_110', 'page_2087', 'page_862', 'page_534', 'page_7802', 'page_8125', 'page_6505']",1.0
c111,An image of a large gathering at a funeral apparently shows Khalil Ur Rahman Haqqani’s funeral.,g111,"['g111', 'page_137', 'page_1773', 'page_163', 'g147', 'page_1162', 'page_2059', 'page_1295', 'g139', 'page_922']",1.0
c112,"Alexandria Ocasio-Cortez defines the term ceasefire as an incident when someone “sees a fire”, which “could be a big fire or a small fire, a bonfire or even a candle flame”.",g112,"['g112', 'page_176', 'page_1861', 'page_1924', 'page_9514', 'page_6754', 'page_196', 'page_4727', 'page_3974', 'page_10112']",1.0
c113,"The Kaaba, a place of huge importance to Muslims around the world, was purposely disrespected during the recent Riyadh Fashion Week. A Kaaba-like model was built on the ramp, and models were made to walk around it, thus mocking the religious monument. ",g113,"['g113', 'page_199', 'page_2116', 'page_429', 'page_1557', 'page_3495', 'page_5682', 'g72', 'page_3423', 'page_3567']",1.0
